Instance,Runtime,Optimal_Lambda,Lambdas,Objective_Values
1,0.0,3.0739910095631214e-07,"[0, 0.08058282992109149, 0.040291414960545745, 0.020145707480272872, 0.010072853740136436, 0.005036426870068218, 0.002518213435034109, 0.0012591067175170545, 0.0006295533587585273, 0.00031477667937926363, 0.00015738833968963182, 7.869416984481591e-05, 3.9347084922407954e-05, 1.9673542461203977e-05, 9.836771230601988e-06, 4.918385615300994e-06, 2.459192807650497e-06, 1.2295964038252486e-06, 6.147982019126243e-07, 6.147982019126243e-07]","[0.6198641481852656, 0.6493806854653031, 0.6346224168252843, 0.627243282505275, 0.6235537153452702, 0.6217089317652679, 0.6207865399752667, 0.6203253440802661, 0.6200947461327658, 0.6199794471590157, 0.6199217976721406, 0.619892972928703, 0.6198785605569842, 0.6198713543711248, 0.6198677512781952, 0.6198659497317304, 0.619865048958498, 0.6198645985718818, 0.6198643733785736, 0.6198643733785736]"
2,0.0,3.474070975896125e-07,"[0, 0.09107068619053138, 0.04553534309526569, 0.022767671547632845, 0.011383835773816423, 0.005691917886908211, 0.0028459589434541056, 0.0014229794717270528, 0.0007114897358635264, 0.0003557448679317632, 0.0001778724339658816, 8.89362169829408e-05, 4.44681084914704e-05, 2.22340542457352e-05, 1.11170271228676e-05, 5.5585135614338e-06, 2.7792567807169e-06, 1.38962839035845e-06, 6.94814195179225e-07, 6.94814195179225e-07]","[0.665778022248497, 0.7637495581112237, 0.7147637901798604, 0.6902709062141787, 0.6780244642313378, 0.6719012432399174, 0.6688396327442072, 0.6673088274963521, 0.6665434248724246, 0.6661607235604609, 0.6659693729044789, 0.665873697576488, 0.6658258599124925, 0.6658019410804947, 0.6657899816644959, 0.6657840019564965, 0.6657810121024968, 0.6657795171754969, 0.6657787697119969, 0.6657787697119969]"
3,0.0,3.10026844573782e-07,"[0, 0.0812716771439495, 0.04063583857197475, 0.020317919285987376, 0.010158959642993688, 0.005079479821496844, 0.002539739910748422, 0.001269869955374211, 0.0006349349776871055, 0.00031746748884355276, 0.00015873374442177638, 7.936687221088819e-05, 3.9683436105444095e-05, 1.9841718052722047e-05, 9.920859026361024e-06, 4.960429513180512e-06, 2.480214756590256e-06, 1.240107378295128e-06, 6.20053689147564e-07, 6.20053689147564e-07]","[0.6339946629735003, 0.6788573850468191, 0.6564260240101597, 0.6452103434918299, 0.6396025032326651, 0.6367985831030827, 0.6353966230382915, 0.6346956430058959, 0.6343451529896982, 0.6341699079815992, 0.6340822854775497, 0.6340384742255251, 0.6340165685995126, 0.6340056157865065, 0.6340001393800033, 0.6339974011767519, 0.6339960320751261, 0.6339953475243132, 0.6339950052489067, 0.6339950052489067]"
4,0.0,2.956585531551168e-07,"[0, 0.07750511575829494, 0.03875255787914747, 0.019376278939573735, 0.009688139469786868, 0.004844069734893434, 0.002422034867446717, 0.0012110174337233584, 0.0006055087168616792, 0.0003027543584308396, 0.0001513771792154198, 7.56885896077099e-05, 3.784429480385495e-05, 1.8922147401927476e-05, 9.461073700963738e-06, 4.730536850481869e-06, 2.3652684252409345e-06, 1.1826342126204672e-06, 5.913171063102336e-07, 5.913171063102336e-07]","[0.5381948907172824, 0.610146748914394, 0.5590649984285795, 0.5455159237605692, 0.5418554072389258, 0.5400251489781042, 0.5391100198476934, 0.5386524552824878, 0.5384236729998851, 0.5383092818585838, 0.5382520862879332, 0.5382234885026078, 0.5382091896099451, 0.5382020401636138, 0.5381984654404481, 0.5381966780788653, 0.5381957843980738, 0.5381953375576781, 0.5381951141374803, 0.5381951141374803]"
5,0.0,3.6230639245622937e-07,"[0, 0.09497644694404579, 0.047488223472022896, 0.023744111736011448, 0.011872055868005724, 0.005936027934002862, 0.002968013967001431, 0.0014840069835007155, 0.0007420034917503578, 0.0003710017458751789, 0.00018550087293758944, 9.275043646879472e-05, 4.637521823439736e-05, 2.318760911719868e-05, 1.159380455859934e-05, 5.79690227929967e-06, 2.898451139649835e-06, 1.4492255698249175e-06, 7.246127849124587e-07, 7.246127849124587e-07]","[0.7980489581846234, 0.8266088451061453, 0.8123289016453843, 0.8051889299150039, 0.8016189440498136, 0.7998339511172186, 0.798941454650921, 0.7984952064177722, 0.7982720823011978, 0.7981605202429106, 0.798104739213767, 0.7980768486991952, 0.7980629034419093, 0.7980559308132664, 0.7980524444989449, 0.7980507013417841, 0.7980498297632039, 0.7980493939739136, 0.7980491760792685, 0.7980491760792685]"
6,0.0,3.523923607898321e-07,"[0, 0.09237754302688975, 0.04618877151344487, 0.023094385756722437, 0.011547192878361218, 0.005773596439180609, 0.0028867982195903046, 0.0014433991097951523, 0.0007216995548975761, 0.0003608497774487881, 0.00018042488872439404, 9.021244436219702e-05, 4.510622218109851e-05, 2.2553111090549255e-05, 1.1276555545274627e-05, 5.638277772637314e-06, 2.819138886318657e-06, 1.4095694431593284e-06, 7.047847215796642e-07, 7.047847215796642e-07]","[0.7597182927148285, 0.7862264879621237, 0.772972390338476, 0.7663453415266521, 0.7630318171207404, 0.7613750549177845, 0.7605466738163065, 0.7601324832655674, 0.7599253879901978, 0.7598218403525132, 0.7597700665336709, 0.7597441796242496, 0.759731236169539, 0.7597247644421836, 0.759721528578506, 0.7597199106466672, 0.7597191016807479, 0.7597186971977882, 0.7597184949563083, 0.7597184949563083]"
7,0.0,3.2758055067704133e-07,"[0, 0.08587327587668232, 0.04293663793834116, 0.02146831896917058, 0.01073415948458529, 0.005367079742292645, 0.0026835398711463226, 0.0013417699355731613, 0.0006708849677865806, 0.0003354424838932903, 0.00016772124194664516, 8.386062097332258e-05, 4.193031048666129e-05, 2.0965155243330645e-05, 1.0482577621665323e-05, 5.241288810832661e-06, 2.6206444054163307e-06, 1.3103222027081653e-06, 6.551611013540827e-07, 6.551611013540827e-07]","[0.6923272582228941, 0.7227220223961988, 0.7075246403095465, 0.6999259492662203, 0.6961266037445573, 0.6942269309837257, 0.6932770946033099, 0.6928021764131022, 0.6925647173179981, 0.6924459877704461, 0.6923866229966702, 0.6923569406097821, 0.6923420994163382, 0.6923346788196163, 0.6923309685212551, 0.6923291133720746, 0.6923281857974845, 0.6923277220101893, 0.6923274901165418, 0.6923274901165418]"
8,0.0,3.488820443273639e-07,"[0, 0.09145733462815248, 0.04572866731407624, 0.02286433365703812, 0.01143216682851906, 0.00571608341425953, 0.002858041707129765, 0.0014290208535648824, 0.0007145104267824412, 0.0003572552133912206, 0.0001786276066956103, 8.931380334780515e-05, 4.4656901673902576e-05, 2.2328450836951288e-05, 1.1164225418475644e-05, 5.582112709237822e-06, 2.791056354618911e-06, 1.3955281773094555e-06, 6.977640886547278e-07, 6.977640886547278e-07]","[0.7239474548707281, 0.7527233977702441, 0.7383354263204861, 0.7311414405956072, 0.7275444477331676, 0.7257459513019479, 0.7248467030863379, 0.724397078978533, 0.7241722669246304, 0.7240598608976793, 0.7240036578842037, 0.7239755563774659, 0.723961505624097, 0.7239544802474125, 0.7239509675590703, 0.7239492112148992, 0.7239483330428136, 0.7239478939567708, 0.7239476744137494, 0.7239476744137494]"
9,0.0,3.32464076347796e-07,"[0, 0.08715346283011663, 0.043576731415058315, 0.021788365707529157, 0.010894182853764579, 0.005447091426882289, 0.0027235457134411447, 0.0013617728567205723, 0.0006808864283602862, 0.0003404432141801431, 0.00017022160709007154, 8.511080354503577e-05, 4.2555401772517885e-05, 2.1277700886258943e-05, 1.0638850443129471e-05, 5.319425221564736e-06, 2.659712610782368e-06, 1.329856305391184e-06, 6.64928152695592e-07, 6.64928152695592e-07]","[0.6082532031399059, 0.6688818734236994, 0.6343570069719522, 0.6170945737460787, 0.6099992296784251, 0.6091262164091656, 0.6086897097745357, 0.6084714564572209, 0.6083623297985635, 0.6083077664692347, 0.6082804848045704, 0.6082668439722382, 0.6082600235560721, 0.608256613347989, 0.6082549082439475, 0.6082540556919268, 0.6082536294159163, 0.6082534162779112, 0.6082533097089086, 0.6082533097089086]"
10,0.0,3.315739167528683e-07,"[0, 0.08692011283326391, 0.043460056416631955, 0.021730028208315978, 0.010865014104157989, 0.005432507052078994, 0.002716253526039497, 0.0013581267630197486, 0.0006790633815098743, 0.00033953169075493715, 0.00016976584537746857, 8.488292268873429e-05, 4.2441461344367144e-05, 2.1220730672183572e-05, 1.0610365336091786e-05, 5.305182668045893e-06, 2.6525913340229465e-06, 1.3262956670114732e-06, 6.631478335057366e-07, 6.631478335057366e-07]","[0.6582189977831391, 0.713740235155662, 0.684438060438164, 0.6713285291106516, 0.6647737634468953, 0.6614963806150171, 0.6598576891990782, 0.6590383434911087, 0.6586286706371238, 0.6584238342101314, 0.6583214159966353, 0.6582702068898871, 0.6582446023365132, 0.6582318000598261, 0.6582253989214826, 0.6582221983523109, 0.6582205980677249, 0.6582197979254321, 0.6582193978542855, 0.6582193978542855]"
11,0.0,3.8005354685641894e-07,"[0, 0.09962875698712909, 0.04981437849356454, 0.02490718924678227, 0.012453594623391136, 0.006226797311695568, 0.003113398655847784, 0.001556699327923892, 0.000778349663961946, 0.000389174831980973, 0.0001945874159904865, 9.729370799524325e-05, 4.8646853997621624e-05, 2.4323426998810812e-05, 1.2161713499405406e-05, 6.080856749702703e-06, 3.0404283748513515e-06, 1.5202141874256757e-06, 7.601070937128379e-07, 7.601070937128379e-07]","[0.6979134866186782, 0.7728510784794496, 0.7336794671052582, 0.7157964768619682, 0.7068549817403232, 0.7023842341795007, 0.7001488603990894, 0.6990311735088838, 0.698472330063781, 0.6981929083412296, 0.6980531974799538, 0.697983342049316, 0.6979484143339971, 0.6979309504763376, 0.6979222185475078, 0.6979178525830929, 0.6979156696008856, 0.697914578109782, 0.69791403236423, 0.69791403236423]"
12,0.0,3.425604740674526e-07,"[0, 0.0898001729139383, 0.04490008645696915, 0.022450043228484574, 0.011225021614242287, 0.005612510807121144, 0.002806255403560572, 0.001403127701780286, 0.000701563850890143, 0.0003507819254450715, 0.00017539096272253574, 8.769548136126787e-05, 4.3847740680633934e-05, 2.1923870340316967e-05, 1.0961935170158484e-05, 5.480967585079242e-06, 2.740483792539621e-06, 1.3702418962698104e-06, 6.851209481349052e-07, 6.851209481349052e-07]","[0.6937936358040542, 0.7513591017478434, 0.7225763687759488, 0.7081850022900014, 0.7009893190470278, 0.697391477425541, 0.6955925566147976, 0.6946930962094259, 0.69424336600674, 0.6940185009053972, 0.6939060683547256, 0.6938498520793899, 0.693821743941722, 0.6938076898728881, 0.6938006628384712, 0.6937971493212627, 0.6937953925626583, 0.6937945141833564, 0.6937940749937053, 0.6937940749937053]"
13,0.0,3.3348070361034595e-07,"[0, 0.043709982783615264, 0.021854991391807632, 0.010927495695903816, 0.005463747847951908, 0.002731873923975954, 0.001365936961987977, 0.0006829684809939885, 0.00034148424049699425, 0.00017074212024849713, 8.537106012424856e-05, 4.268553006212428e-05, 2.134276503106214e-05, 1.067138251553107e-05, 5.335691257765535e-06, 2.6678456288827676e-06, 1.3339228144413838e-06, 6.669614072206919e-07, 6.669614072206919e-07]","[0.36158988455929675, 0.37554462747119155, 0.36856725601524415, 0.3650785702872704, 0.36333422742328364, 0.36246205599129017, 0.3620259702752935, 0.36180792741729517, 0.36169890598829596, 0.3616443952737964, 0.36161713991654654, 0.36160351223792164, 0.36159669839860925, 0.361593291478953, 0.3615915880191249, 0.36159073628921085, 0.3615903104242538, 0.36159009749177534, 0.36159009749177534]"
14,0.0,3.1171743251463953e-07,"[0, 0.08171485462911766, 0.04085742731455883, 0.020428713657279416, 0.010214356828639708, 0.005107178414319854, 0.002553589207159927, 0.0012767946035799635, 0.0006383973017899818, 0.0003191986508949909, 0.00015959932544749544, 7.979966272374772e-05, 3.989983136187386e-05, 1.994991568093693e-05, 9.974957840468465e-06, 4.9874789202342324e-06, 2.4937394601171162e-06, 1.2468697300585581e-06, 6.234348650292791e-07, 6.234348650292791e-07]","[0.643643829788082, 0.6669878086220874, 0.6529553010493216, 0.6464789560355635, 0.6450613929118227, 0.6443526113499523, 0.6439982205690171, 0.6438210251785494, 0.6437324274833157, 0.6436881286356988, 0.6436659792118904, 0.6436549044999861, 0.643649367144034, 0.643646598466058, 0.6436452141270699, 0.643644521957576, 0.6436441758728288, 0.6436440028304554, 0.6436439163092686, 0.6436439163092686]"
15,0.0,3.4296991373493984e-07,"[0, 0.08990750506613207, 0.044953752533066035, 0.022476876266533018, 0.011238438133266509, 0.005619219066633254, 0.002809609533316627, 0.0014048047666583136, 0.0007024023833291568, 0.0003512011916645784, 0.0001756005958322892, 8.78002979161446e-05, 4.39001489580723e-05, 2.195007447903615e-05, 1.0975037239518075e-05, 5.4875186197590375e-06, 2.7437593098795188e-06, 1.3718796549397594e-06, 6.859398274698797e-07, 6.859398274698797e-07]","[0.6301191285387919, 0.6996145160416404, 0.6634009001652516, 0.6452940922270572, 0.6362406882579601, 0.6318848047975603, 0.6310019666681761, 0.630560547603484, 0.630339838071138, 0.6302294833049649, 0.6301743059218784, 0.6301467172303352, 0.6301329228845636, 0.6301260257116778, 0.6301225771252348, 0.6301208528320134, 0.6301199906854027, 0.6301195596120972, 0.6301193440754446, 0.6301193440754446]"
16,0.0,3.1122894780880053e-07,"[0, 0.08158680129439021, 0.040793400647195104, 0.020396700323597552, 0.010198350161798776, 0.005099175080899388, 0.002549587540449694, 0.001274793770224847, 0.0006373968851124235, 0.00031869844255621175, 0.00015934922127810587, 7.967461063905294e-05, 3.983730531952647e-05, 1.9918652659763234e-05, 9.959326329881617e-06, 4.9796631649408085e-06, 2.4898315824704043e-06, 1.2449157912352021e-06, 6.224578956176011e-07, 6.224578956176011e-07]","[0.703063303616732, 0.7130200344575883, 0.7080416690371601, 0.7055524863269461, 0.704307894971839, 0.7036855992942854, 0.7033744514555088, 0.7032188775361203, 0.7031410905764262, 0.7031021970965791, 0.7030827503566555, 0.7030730269866937, 0.7030681653017128, 0.7030657344592224, 0.7030645190379772, 0.7030639113273546, 0.7030636074720432, 0.7030634555443876, 0.7030633795805598, 0.7030633795805598]"
17,0.0,0.05357165962144297,"[0, 0.07621768277552059, 0.038108841387760294, 0.05716326208164044, 0.04763605173470037, 0.0523996569081704, 0.05478145949490542, 0.05359055820153791, 0.052995107554854155, 0.05329283287819603, 0.05344169553986697, 0.05351612687070244, 0.05355334253612017, 0.053571950368829044, 0.053562646452474605, 0.053567298410651824, 0.05356962438974043, 0.05357078737928474, 0.05357136887405689, 0.053571950368829044]","[0.6529342845347633, 0.6555599736386419, 0.6529342845347634, 0.6532959038199534, 0.6529342845347634, 0.6529342845347634, 0.6530128950926174, 0.6529342845347633, 0.6529342845347634, 0.6529342845347634, 0.6529342845347634, 0.6529342845347634, 0.6529342845347634, 0.6529342845347633, 0.6529342845347634, 0.6529342845347634, 0.6529342845347634, 0.6529342845347634, 0.6529342845347634, 0.6529342845347633]"
18,0.0,3.0704171421135293e-07,"[0, 0.0804891431302209, 0.04024457156511045, 0.020122285782555226, 0.010061142891277613, 0.005030571445638806, 0.002515285722819403, 0.0012576428614097016, 0.0006288214307048508, 0.0003144107153524254, 0.0001572053576762127, 7.860267883810635e-05, 3.9301339419053175e-05, 1.9650669709526588e-05, 9.825334854763294e-06, 4.912667427381647e-06, 2.4563337136908234e-06, 1.2281668568454117e-06, 6.140834284227059e-07, 6.140834284227059e-07]","[0.5719687063811433, 0.6334865025838755, 0.6025484955980547, 0.587258600989599, 0.5796136536853712, 0.5757911800332572, 0.5738799432072003, 0.5729243247941718, 0.5724465155876576, 0.5722076109844004, 0.5720881586827719, 0.5720284325319576, 0.5719985694565505, 0.5719836379188469, 0.5719761721499951, 0.5719724392655692, 0.5719705728233563, 0.5719696396022498, 0.5719691729916966, 0.5719691729916966]"
19,0.0,3.417550331431422e-07,"[0, 0.08958903140827587, 0.044794515704137935, 0.022397257852068968, 0.011198628926034484, 0.005599314463017242, 0.002799657231508621, 0.0013998286157543105, 0.0006999143078771552, 0.0003499571539385776, 0.0001749785769692888, 8.74892884846444e-05, 4.37446442423222e-05, 2.18723221211611e-05, 1.093616106058055e-05, 5.468080530290275e-06, 2.7340402651451377e-06, 1.3670201325725688e-06, 6.835100662862844e-07, 6.835100662862844e-07]","[0.7736621239584691, 0.7826255251958814, 0.7781438245771752, 0.7759029742678222, 0.7747825491131457, 0.7742223365358073, 0.7739422302471382, 0.7738021771028036, 0.7737321505306364, 0.7736971372445527, 0.7736796306015108, 0.77367087727999, 0.7736665006192295, 0.7736643122888492, 0.7736632181236591, 0.7736626710410641, 0.7736623974997666, 0.7736622607291177, 0.7736621923437934, 0.7736621923437934]"
20,0.016000032424926758,0.050809770130670034,"[0, 0.095642607017904, 0.047821303508952, 0.071731955263428, 0.05977662938619, 0.053798966447571, 0.0508101349782615, 0.049315719243606754, 0.05006292711093413, 0.05043653104459782, 0.050623333011429655, 0.05071673399484558, 0.050763434486553544, 0.050786784732407525, 0.050798459855334516, 0.05080429741679801, 0.05080721619752976, 0.05080867558789563, 0.05080940528307856, 0.0508101349782615]","[0.8215100532919005, 0.830217851411594, 0.8186146834044976, 0.8236335733780253, 0.820341434361241, 0.8188536398850821, 0.8186146834044976, 0.8186146834044977, 0.8186146834044976, 0.8186146834044977, 0.8186146834044976, 0.8186146834044976, 0.8186146834044977, 0.8186146834044976, 0.8186146834044977, 0.8186146834044976, 0.8186146834044977, 0.8186146834044976, 0.8186146834044977, 0.8186146834044976]"
21,0.0,3.3312075018395076e-07,"[0, 0.08732560593622159, 0.043662802968110793, 0.021831401484055397, 0.010915700742027698, 0.005457850371013849, 0.0027289251855069246, 0.0013644625927534623, 0.0006822312963767311, 0.0003411156481883656, 0.0001705578240941828, 8.52789120470914e-05, 4.26394560235457e-05, 2.131972801177285e-05, 1.0659864005886424e-05, 5.329932002943212e-06, 2.664966001471606e-06, 1.332483000735803e-06, 6.662415003679015e-07, 6.662415003679015e-07]","[0.6039693690331019, 0.6794316735624126, 0.6415460069533587, 0.6226031736488318, 0.6131317569965682, 0.6083960486704365, 0.6060281945073707, 0.6048442674258376, 0.6042670398872796, 0.6041182044601908, 0.6040437867466464, 0.6040065778898742, 0.6039879734614881, 0.603978671247295, 0.6039740201401985, 0.6039716945866502, 0.6039705318098761, 0.603969950421489, 0.6039696597272955, 0.6039696597272955]"
22,0.0,2.773772511888135e-07,"[0, 0.07271278213564032, 0.03635639106782016, 0.01817819553391008, 0.00908909776695504, 0.00454454888347752, 0.00227227444173876, 0.00113613722086938, 0.00056806861043469, 0.000284034305217345, 0.0001420171526086725, 7.100857630433625e-05, 3.5504288152168126e-05, 1.7752144076084063e-05, 8.876072038042031e-06, 4.438036019021016e-06, 2.219018009510508e-06, 1.109509004755254e-06, 5.54754502377627e-07, 5.54754502377627e-07]","[0.5840008396636683, 0.5950190259248465, 0.5884516590248767, 0.5862262493442726, 0.5851135445039705, 0.5845571920838194, 0.584279015873744, 0.5841399277687062, 0.5840703837161874, 0.5840356116899278, 0.5840182256767981, 0.5840095326702333, 0.5840051861669509, 0.5840030129153095, 0.584001926289489, 0.5840013829765787, 0.5840011113201236, 0.584000975491896, 0.5840009075777822, 0.5840009075777822]"
23,0.0,3.564088390770613e-07,"[0, 0.09343043871101715, 0.046715219355508576, 0.023357609677754288, 0.011678804838877144, 0.005839402419438572, 0.002919701209719286, 0.001459850604859643, 0.0007299253024298215, 0.00036496265121491075, 0.00018248132560745538, 9.124066280372769e-05, 4.5620331401863844e-05, 2.2810165700931922e-05, 1.1405082850465961e-05, 5.7025414252329805e-06, 2.8512707126164902e-06, 1.4256353563082451e-06, 7.128176781541226e-07, 7.128176781541226e-07]","[0.7002654382794304, 0.723922367409014, 0.7060418173275098, 0.7031536278034701, 0.7017095330414502, 0.7009874856604402, 0.7006264619699353, 0.7004459501246828, 0.7003556942020567, 0.7003105662407436, 0.7002880022600869, 0.7002767202697586, 0.7002710792745945, 0.7002682587770124, 0.7002668485282214, 0.7002661434038259, 0.7002657908416282, 0.7002656145605293, 0.7002655264199799, 0.7002655264199799]"
24,0.0,0.0185185244272352,"[0, 0.0734320601953311, 0.03671603009766555, 0.018358015048832776, 0.027537022573249165, 0.02294751881104097, 0.020652766929936874, 0.019505390989384825, 0.0189317030191088, 0.018644859033970788, 0.01850143704140178, 0.018573148037686282, 0.01853729253954403, 0.018519364790472906, 0.018510400915937343, 0.018514882853205124, 0.018517123821839017, 0.01851824430615596, 0.018518804548314435, 0.018518804548314435]","[0.5870423119027616, 0.6021620320601506, 0.589749326455016, 0.5870423119027616, 0.5882902648261426, 0.5876515085130997, 0.5873321303565783, 0.5871724412783176, 0.5870925967391872, 0.5870526744696221, 0.5870423119027616, 0.5870426939022307, 0.5870423119027615, 0.5870423119027615, 0.5870423119027616, 0.5870423119027616, 0.5870423119027616, 0.5870423119027616, 0.5870423119027615, 0.5870423119027615]"
